gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
2232,362308,2008,8,SUN,CLE,JAC,Jacksonville Municipal Stadium,72,39,12,NW,Clear,Grass,42.5,7,CLE,JAC,10,4,4,4,39,17,17,3,3,4,2,98,3,,,FG,PD-0200,395,20,Y,23,17,0,"(4:39) P.Dawson 20 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",Grass,49.65
2232,362313,2008,8,SUN,CLE,JAC,Jacksonville Municipal Stadium,72,39,12,NW,Clear,Grass,42.5,7,CLE,JAC,4,5,4,4,11,20,17,3,2,4,10,75,3,,,FG,PD-0200,395,42,Y,23,17,0,"(4:11) P.Dawson 42 yard field goal is GOOD, Center-R.Pontbriand, Holder-D.Zastudil.",Grass,49.18333333
2233,362353,2008,8,SUN,NYG,PIT,Heinz Field,62,50,10,SSW,Mostly Sunny,Grass,42,3,NYG,PIT,11,4,1,4,43,0,7,3,3,4,8,92,3,,,FG,JC-0900,288,26,Y,21,14,0,"(4:43) J.Carney 26 yard field goal is GOOD, Center-J.Alford, Holder-J.Feagles.",Grass,4.716666667
2233,362378,2008,8,SUN,NYG,PIT,Heinz Field,62,50,10,SSW,Mostly Sunny,Grass,42,3,NYG,PIT,4,3,2,10,33,3,7,3,3,4,8,83,3,,,FG,JC-0900,288,35,Y,21,14,0,"(10:33) J.Carney 35 yard field goal is GOOD, Center-J.Alford, Holder-J.Feagles.",Grass,25.55
2233,362392,2008,8,SUN,NYG,PIT,Heinz Field,62,50,10,SSW,Mostly Sunny,Grass,42,3,NYG,PIT,7,3,2,3,34,6,7,2,3,4,2,93,3,,,FG,JC-0900,288,25,Y,21,14,0,"(3:34) J.Carney 25 yard field goal is GOOD, Center-J.Alford, Holder-J.Feagles.",Grass,18.56666667
2233,362460,2008,8,SUN,NYG,PIT,Heinz Field,62,50,10,SSW,Mostly Sunny,Grass,42,3,NYG,PIT,12,3,4,8,21,9,14,2,3,4,6,94,3,,,FG,JC-0900,288,24,Y,21,14,0,"(8:21) J.Carney 24 yard field goal is GOOD, Center-J.Alford, Holder-J.Feagles.",Grass,53.35
2234,362503,2008,8,SUN,SEA,SF,Candlestick Park,64,70,3,NE,Sunny,Grass,40.5,5,SEA,SF,9,3,1,10,10,0,0,3,3,4,11,75,3,,,FG,OM-0100,336,43,Y,34,13,0,"(10:10) O.Mare 43 yard field goal is GOOD, Center-J.Robinson, Holder-J.Ryan.",Grass,10.16666667
2234,362515,2008,8,SUN,SEA,SF,Candlestick Park,64,70,3,NE,Sunny,Grass,40.5,5,SEA,SF,4,3,1,6,20,3,0,3,3,4,7,76,3,,,FG,OM-0100,336,42,Y,34,13,0,"(6:20) O.Mare 42 yard field goal is GOOD, Center-J.Robinson, Holder-J.Ryan.",Grass,6.333333333
2234,362548,2008,8,SUN,SEA,SF,Candlestick Park,64,70,3,NE,Sunny,Grass,40.5,5,SF,SEA,10,26,2,7,31,0,13,3,2,4,14,76,3,,,FG,JN-0600,250,42,Y,34,13,0,"(7:31) J.Nedney 42 yard field goal is GOOD, Center-B.Jennings, Holder-A.Lee.",Grass,22.51666667
2234,362599,2008,8,SUN,SEA,SF,Candlestick Park,64,70,3,NE,Sunny,Grass,40.5,5,SF,SEA,14,5,3,4,17,3,20,3,3,4,7,78,3,,,FG,JN-0600,250,40,Y,34,13,0,"(4:17) J.Nedney 40 yard field goal is GOOD, Center-B.Jennings, Holder-A.Lee.",Grass,34.28333333
