gid,pid,seas,week,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,off,def,dseq,len,qtr,min,sec,ptso,ptsd,timo,timd,dwn,ytg,yfog,pts,blk,brcv,fgxp,fkicker,NumKicks,dist,good,ptsv,ptsh,iced,detail,surface,elapsedtime
1,17,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,6,3,1,10,25,0,7,2,3,4,7,75,3,,,FG,MA-0700,182,43,Y,28,36,0,"(10:25) M.Andersen 43 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,10.41666667
1,34,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,10,3,1,6,20,3,7,2,3,4,9,73,3,,,FG,MA-0700,182,44,Y,28,36,0,"(6:20) M.Andersen 44 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,6.333333333
1,52,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,11,3,2,11,39,6,7,2,2,4,6,94,3,,,FG,MA-0700,182,24,Y,28,36,0,"(11:39) M.Andersen 24 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,26.65
1,64,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,6,3,2,8,29,9,7,2,2,4,7,74,3,,,FG,MA-0700,182,44,Y,28,36,0,"(8:29) M.Andersen 44 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,23.48333333
1,95,2000,1,SUN,SF,ATL,Georgia Dome,79,,,,Dome,AstroTurf,42.5,7,ATL,SF,7,3,2,0,0,19,14,1,1,2,5,69,3,,,FG,MA-0700,182,48,Y,28,36,0,"(:00) M.Andersen 48 yard field goal is GOOD, Center-D.Rackley, Holder-D.Stryzinski.",Turf,15
2,241,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78,63,9,NE,Sunny,Grass,38,-10,JAC,CLE,12,4,2,0,34,7,7,1,2,4,23,68,3,,,FG,MH-3100,87,50,Y,27,7,1,"(:34) M.Hollis 50 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,15.56666667
2,277,2000,1,SUN,JAC,CLE,Cleveland Browns Stadium,78,63,9,NE,Sunny,Grass,38,-10,JAC,CLE,10,3,3,5,53,17,7,3,1,4,7,93,3,,,FG,MH-3100,87,25,Y,27,7,0,"(5:53) M.Hollis 25 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,35.88333333
3,375,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,PHI,DAL,13,3,2,7,6,21,0,2,3,4,5,85,3,,,FG,DA-0300,516,33,Y,41,14,0,"(7:06) D.Akers 33 yard field goal is GOOD, Center-M.Bartrum, Holder-K.Detmer.",Turf,22.1
3,387,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,DAL,PHI,4,3,2,3,35,0,24,3,2,4,8,83,3,,,FG,TS-1100,62,34,Y,41,14,0,"(3:35) T.Seder 34 yard field goal is GOOD, Center-D.Hellestrae, Holder-M.Knorr.",Turf,18.58333333
3,401,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,DAL,PHI,5,3,2,0,4,3,24,0,2,1,10,79,3,,,FG,TS-1100,62,38,Y,41,14,0,"(:04) T.Seder 38 yard field goal is GOOD, Center-D.Hellestrae, Holder-M.Knorr.",Turf,15.06666667
3,416,2000,1,SUN,PHI,DAL,Texas Stadium,109,19,5,S,Sunny,AstroTurf,40,6,PHI,DAL,14,3,3,7,21,24,6,2,3,4,1,81,3,,,FG,DA-0300,516,37,Y,41,14,0,"(7:21) D.Akers 37 yard field goal is GOOD, Center-M.Bartrum, Holder-K.Detmer.",Turf,37.35
4,517,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,NYJ,GB,4,3,2,15,0,7,7,2,3,4,15,66,,,,FG,JH-0500,171,52,N,20,16,0,"(15:00) J.Hall 52 yard field goal is No Good, Wide Left, Center-B.Banta, Holder-T.Tupa.",Grass,30
4,541,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,GB,NYJ,8,3,2,6,23,7,7,2,2,4,20,73,3,,,FG,RL-1300,354,45,Y,20,16,0,"(6:23) R.Longwell 45 yard field goal is GOOD, Center-R.Davis, Holder-M.Hasselbeck.",Grass,21.38333333
4,563,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,NYJ,GB,12,3,2,0,22,7,10,2,2,4,4,95,3,,,FG,JH-0500,171,23,Y,20,16,0,"(:22) J.Hall 23 yard field goal is GOOD, Center-B.Banta, Holder-T.Tupa.",Grass,15.36666667
4,583,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,NYJ,GB,15,3,3,15,0,10,10,3,3,4,30,70,,,,FG,JH-0500,171,48,N,20,16,0,"(15:00) J.Hall 48 yard field goal is No Good, Wide Left, Center-B.Banta, Holder-T.Tupa.",Grass,45
4,595,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,GB,NYJ,9,3,3,7,5,10,10,3,3,4,16,77,3,,,FG,RL-1300,354,42,Y,20,16,0,"(7:05) R.Longwell 42 yard field goal is GOOD, Center-R.Davis, Holder-M.Hasselbeck.",Grass,37.08333333
4,618,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,NYJ,GB,5,3,4,11,14,10,13,3,3,4,4,79,3,,,FG,JH-0500,171,39,Y,20,16,0,"(11:14) J.Hall 39 yard field goal is GOOD, Center-B.Banta, Holder-T.Tupa.",Grass,56.23333333
4,626,2000,1,SUN,NYJ,GB,Lambeau Field,77,66,5,E,Mostly Cloudy,Grass,36,2.5,GB,NYJ,6,3,4,8,52,13,13,3,3,4,10,76,3,,,FG,RL-1300,354,42,Y,20,16,0,"(8:52) R.Longwell 42 yard field goal is GOOD, Center-R.Davis, Holder-M.Hasselbeck.",Grass,53.86666667
5,775,2000,1,SUN,IND,KC,Arrowhead Stadium,90,50,8,E,Mostly Sunny,Grass,44,-3,IND,KC,9,3,4,15,0,14,14,3,3,4,5,95,3,,,FG,MV-0100,208,23,Y,27,14,0,"(15:00) M.Vanderjagt 23 yard field goal is GOOD, Center-J.Snow, Holder-H.Smith.",Grass,60
5,799,2000,1,SUN,IND,KC,Arrowhead Stadium,90,50,8,E,Mostly Sunny,Grass,44,-3,IND,KC,9,3,4,8,51,24,14,3,2,4,10,78,3,,,FG,MV-0100,208,40,Y,27,14,0,"(8:51) M.Vanderjagt 40 yard field goal is GOOD, Center-J.Snow, Holder-H.Smith.",Grass,53.85
6,842,2000,1,SUN,SEA,MIA,Pro Player Stadium,89,59,13,E,Sunny,Grass,36,3,MIA,SEA,8,3,1,5,21,7,0,3,3,4,6,70,3,,,FG,OM-0100,336,48,Y,0,23,0,"(5:21) O.Mare 48 yard field goal is GOOD, Center-E.Perry, Holder-D.Huard.",Grass,5.35
6,851,2000,1,SUN,SEA,MIA,Pro Player Stadium,89,59,13,E,Sunny,Grass,36,3,MIA,SEA,4,3,2,14,50,10,0,3,3,4,7,93,3,,,FG,OM-0100,336,25,Y,0,23,0,"(14:50) O.Mare 25 yard field goal is GOOD, Center-E.Perry, Holder-D.Huard.",Grass,29.83333333
6,859,2000,1,SUN,SEA,MIA,Pro Player Stadium,89,59,13,E,Sunny,Grass,36,3,MIA,SEA,4,3,2,13,39,13,0,3,3,4,6,88,3,,,FG,OM-0100,336,30,Y,0,23,0,"(13:39) O.Mare 30 yard field goal is GOOD, Center-E.Perry, Holder-D.Huard.",Grass,28.65
7,969,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,MIN,CHI,8,3,1,15,0,0,0,3,3,4,2,82,3,,,FG,GA-0300,122,35,Y,27,30,0,"(15:00) G.Anderson 35 yard field goal is GOOD, Center-M.Palmer, Holder-M.Berger.",Turf,15
7,990,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,MIN,CHI,5,3,1,2,51,3,7,2,3,4,8,80,3,,,FG,GA-0300,122,38,Y,27,30,0,"(2:51) G.Anderson 38 yard field goal is GOOD, Center-M.Palmer, Holder-M.Berger.",Turf,2.85
7,1019,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,CHI,MIN,7,3,2,8,57,7,6,2,2,4,2,89,3,,,FG,PE-0100,181,29,Y,27,30,0,"(8:57) P.Edinger 29 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Bartholomew.",Turf,23.95
7,1027,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,MIN,CHI,7,4,2,1,55,6,10,2,2,4,3,72,3,,,FG,GA-0300,122,45,Y,27,30,0,"(1:55) G.Anderson 45 yard field goal is GOOD, Center-M.Palmer, Holder-M.Berger.",Turf,16.91666667
7,1040,2000,1,SUN,CHI,MIN,Metrodome,65,,,,Dome,AstroTurf,47,4.5,CHI,MIN,12,4,2,0,20,10,9,0,2,4,16,69,3,,,FG,PE-0100,181,49,Y,27,30,0,"(:20) P.Edinger 49 yard field goal is GOOD, Center-P.Mannelly, Holder-B.Bartholomew.",Turf,15.33333333
8,1129,2000,1,SUN,TB,NE,Foxboro Stadium,71,93,5,VAR,Cloudy,Grass,35.5,-3,NE,TB,7,3,1,13,45,0,0,3,2,4,6,88,3,,,FG,AV-0400,456,30,Y,21,16,0,"(13:45) A.Vinatieri 30 yard field goal is GOOD, Center-L.Paxton, Holder-L.Johnson.",Grass,13.75
8,1203,2000,1,SUN,TB,NE,Foxboro Stadium,71,93,5,VAR,Cloudy,Grass,35.5,-3,NE,TB,4,3,2,0,2,10,14,0,0,2,10,63,,,,FG,AV-0400,456,55,N,21,16,0,"(:02) A.Vinatieri 55 yard field goal is No Good, Short, Center-L.Paxton, Holder-L.Johnson.",Grass,15.03333333
9,1351,2000,1,SUN,DET,NO,Louisiana Superdome,89,,,,Dome,AstroTurf,39.5,1,DET,NO,9,3,2,5,47,0,7,2,3,4,4,94,3,,,FG,JH-0900,360,24,Y,14,10,0,"(5:47) J.Hanson 24 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,20.78333333
9,1362,2000,1,SUN,DET,NO,Louisiana Superdome,89,,,,Dome,AstroTurf,39.5,1,DET,NO,5,3,2,1,56,3,7,2,3,4,11,89,3,,,FG,JH-0900,360,30,Y,14,10,0,"(1:56) J.Hanson 30 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,16.93333333
9,1416,2000,1,SUN,DET,NO,Louisiana Superdome,89,,,,Dome,AstroTurf,39.5,1,NO,DET,7,3,4,15,0,7,14,3,3,4,7,69,3,,,FG,DB-3900,114,48,Y,14,10,0,"(15:00) D.Brien 48 yard field goal is GOOD, Center-K.Houser, Holder-T.Gowin.",Turf,60
9,1435,2000,1,SUN,DET,NO,Louisiana Superdome,89,,,,Dome,AstroTurf,39.5,1,NO,DET,4,9,4,7,8,10,14,2,3,4,11,66,,JJ-4100,TG-1500,FG,DB-3900,114,52,N,14,10,0,"(7:08) D.Brien 52 yard field goal is BLOCKED (J.Jones), Center-K.Houser, Holder-T.Gowin, recovered by NO-T.Gowin at NO 39.",Turf,52.13333333
11,1700,2000,1,SUN,SD,OAK,Network Associates Coliseum,64,49,10,W,Partly Cloudy,Grass,39.5,7,OAK,SD,4,3,2,4,36,0,0,3,3,4,7,77,,,,FG,SJ-0300,448,41,N,6,9,0,"(4:36) S.Janikowski 41 yard field goal is No Good, Wide Left, Center-A.Treu, Holder-S.Lechler.",Grass,19.6
12,1812,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74,84,8,NW,Partly Sunny,AstroTurf,37,-3,BAL,PIT,4,3,1,8,21,0,0,3,2,4,2,94,3,,,FG,MS-5200,335,23,Y,16,0,0,"(8:21) M.Stover 23 yard field goal is GOOD, Center-F.Wainright, Holder-K.Richardson.",Turf,8.35
12,1866,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74,84,8,NW,Partly Sunny,AstroTurf,37,-3,BAL,PIT,15,3,2,0,11,10,0,1,1,4,9,91,3,,,FG,MS-5200,335,26,Y,16,0,0,"(:11) M.Stover 26 yard field goal is GOOD, Center-F.Wainright, Holder-K.Richardson.",Turf,15.18333333
12,1875,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74,84,8,NW,Partly Sunny,AstroTurf,37,-3,BAL,PIT,8,3,3,15,0,13,0,3,3,4,8,84,3,,,FG,MS-5200,335,33,Y,16,0,0,"(15:00) M.Stover 33 yard field goal is GOOD, Center-F.Wainright, Holder-K.Richardson.",Turf,45
12,1884,2000,1,SUN,BAL,PIT,Three Rivers Stadium,74,84,8,NW,Partly Sunny,AstroTurf,37,-3,PIT,BAL,8,3,3,11,31,0,16,3,3,4,9,73,,,,FG,KB-2300,307,45,N,16,0,0,"(11:31) K.Brown 45 yard field goal is No Good, Wide Left, Center-M.Schneck, Holder-K.Graham.",Turf,41.51666667
13,2054,2000,1,SUN,CAR,WAS,FedEx Field,80,98,,CALM,Mostly Cloudy,Grass,47.5,10,WAS,CAR,7,3,3,11,42,7,10,3,2,4,4,94,3,,,FG,BC-2300,59,24,Y,17,20,0,"(11:42) B.Conway 24 yard field goal is GOOD, Center-J.Zelenka, Holder-T.Barnhardt.",Grass,41.7
13,2091,2000,1,SUN,CAR,WAS,FedEx Field,80,98,,CALM,Mostly Cloudy,Grass,47.5,10,WAS,CAR,10,3,4,10,37,17,10,3,2,4,3,97,3,,,FG,BC-2300,59,21,Y,17,20,0,"(10:37) B.Conway 21 yard field goal is GOOD, Center-J.Zelenka, Holder-T.Barnhardt.",Grass,55.61666667
14,2178,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73,78,10,S,Mostly Cloudy,AstroTurf,40.5,-1,BUF,TEN,8,5,2,1,2,7,3,3,2,4,28,67,,,,FG,SC-0700,120,51,N,13,16,1,"(1:02) S.Christie 51 yard field goal is No Good, Wide Left, Center-E.Albright, Holder-C.Mohr.",Turf,16.03333333
14,2218,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73,78,10,S,Mostly Cloudy,AstroTurf,40.5,-1,BUF,TEN,5,3,3,6,23,7,6,3,3,4,1,75,3,,,FG,SC-0700,120,42,Y,13,16,0,"(6:23) S.Christie 42 yard field goal is GOOD, Center-E.Albright, Holder-C.Mohr.",Turf,36.38333333
14,2230,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73,78,10,S,Mostly Cloudy,AstroTurf,40.5,-1,BUF,TEN,7,3,4,15,0,10,6,2,3,4,1,77,3,,,FG,SC-0700,120,41,Y,13,16,0,"(15:00) S.Christie 41 yard field goal is GOOD, Center-E.Albright, Holder-C.Mohr.",Turf,60
14,2273,2000,1,SN,TEN,BUF,Ralph Wilson Stadium,73,78,10,S,Mostly Cloudy,AstroTurf,40.5,-1,BUF,TEN,6,4,4,0,35,13,13,1,0,4,5,85,3,,,FG,SC-0700,120,33,Y,13,16,1,"(:35) S.Christie 33 yard field goal is GOOD, Center-E.Albright, Holder-C.Mohr.",Turf,45.58333333
15,2315,2000,1,MN,DEN,STL,Trans World Dome,,,,,Dome,AstroTurf,49.5,6.5,DEN,STL,8,3,2,15,0,7,7,3,3,4,10,86,3,,,FG,JE-0200,311,32,Y,36,41,0,"(15:00) J.Elam 32 yard field goal is GOOD, Center-T.Teague, Holder-T.Rouen.",Turf,30
15,2362,2000,1,MN,DEN,STL,Trans World Dome,,,,,Dome,AstroTurf,49.5,6.5,DEN,STL,9,3,3,15,0,17,21,3,3,4,7,80,3,,,FG,JE-0200,311,38,Y,36,41,0,"(15:00) J.Elam 38 yard field goal is GOOD, Center-T.Teague, Holder-T.Rouen.",Turf,45
15,2407,2000,1,MN,DEN,STL,Trans World Dome,,,,,Dome,AstroTurf,49.5,6.5,DEN,STL,7,3,4,10,59,27,35,2,2,4,12,82,3,,,FG,JE-0200,311,36,Y,36,41,0,"(10:59) J.Elam 36 yard field goal is GOOD, Center-T.Teague, Holder-T.Rouen.",Turf,55.98333333
16,2438,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,JAC,BAL,7,12,1,11,27,0,0,2,3,4,1,83,3,,,FG,MH-3100,87,36,Y,36,39,0,"(11:27) M.Hollis 36 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,11.45
16,2503,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,JAC,BAL,14,4,2,3,40,17,7,1,3,4,15,73,3,,,FG,MH-3100,87,45,Y,36,39,0,"(3:40) M.Hollis 45 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,18.66666667
16,2516,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,JAC,BAL,8,5,2,0,49,20,7,0,3,4,6,70,3,,,FG,MH-3100,87,48,Y,36,39,0,"(:49) M.Hollis 48 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,15.81666667
16,2548,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,JAC,BAL,9,3,3,6,47,23,15,1,3,4,8,84,3,,,FG,MH-3100,87,34,Y,36,39,0,"(6:47) M.Hollis 34 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,36.78333333
16,2588,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,BAL,JAC,4,14,4,7,14,29,26,2,0,4,1,74,3,,,FG,MS-5200,335,44,Y,36,39,0,"(7:14) M.Stover 44 yard field goal is GOOD, Center-F.Wainright, Holder-K.Richardson.",Grass,52.23333333
16,2598,2000,2,SUN,JAC,BAL,PSINet Stadium,82,72,5,SE,Mostly Sunny,Grass,36,3,JAC,BAL,9,5,4,3,58,26,32,0,2,4,12,71,3,,,FG,MH-3100,87,48,Y,36,39,0,"(3:58) M.Hollis 48 yard field goal is GOOD, Center-Q.Neujahr, Holder-B.Barker.",Grass,48.96666667
17,2689,2000,2,SUN,GB,BUF,Ralph Wilson Stadium,81,62,8,WSW,Clear,AstroTurf,39.5,6.5,BUF,GB,2,3,2,0,6,7,0,2,2,2,10,73,3,,,FG,SC-0700,120,45,Y,18,27,0,"(:06) S.Christie 45 yard field goal is GOOD, Center-E.Albright, Holder-C.Mohr.",Turf,15.1
17,2714,2000,2,SUN,GB,BUF,Ralph Wilson Stadium,81,62,8,WSW,Clear,AstroTurf,39.5,6.5,BUF,GB,4,3,3,5,49,17,7,3,2,4,2,98,3,,,FG,SC-0700,120,20,Y,18,27,0,"(5:49) S.Christie 20 yard field goal is GOOD, Center-E.Albright, Holder-C.Mohr.",Turf,35.81666667
17,2727,2000,2,SUN,GB,BUF,Ralph Wilson Stadium,81,62,8,WSW,Clear,AstroTurf,39.5,6.5,GB,BUF,4,3,3,1,20,7,20,2,2,4,3,94,3,,,FG,RL-1300,354,24,Y,18,27,0,"(1:20) R.Longwell 24 yard field goal is GOOD, Center-R.Davis, Holder-M.Hasselbeck.",Turf,31.33333333
18,2839,2000,2,SUN,CLE,CIN,Paul Brown Stadium,74,93,5,S,Chance Rain,Grass,41,6,CIN,CLE,7,3,2,9,33,7,14,2,3,4,5,75,,OR-0200,,FG,NR-0100,343,42,N,24,7,0,"(9:33) N.Rackers 42 yard field goal is BLOCKED (O.Roye), Center-B.St.Louis, Holder-D.Pope.",Grass,24.55
18,2884,2000,2,SUN,CLE,CIN,Paul Brown Stadium,74,93,5,S,Chance Rain,Grass,41,6,CLE,CIN,11,3,3,13,23,14,7,3,3,4,4,87,3,,,FG,PD-0200,395,30,Y,24,7,0,"(13:23) (Field Goal formation) P.Dawson 30 yard field goal is GOOD, Center-R.Kuehl, Holder-C.Gardocki.",Grass,43.38333333
19,2971,2000,2,SUN,ATL,DEN,Mile High Stadium,84,15,10,S,Sunny,Grass,46,4,DEN,ATL,4,3,1,8,14,7,0,3,3,4,5,89,3,,,FG,JE-0200,311,29,Y,14,42,0,"(8:14) J.Elam 29 yard field goal is GOOD, Center-T.Teague, Holder-T.Rouen.",Grass,8.233333333
19,2985,2000,2,SUN,ATL,DEN,Mile High Stadium,84,15,10,S,Sunny,Grass,46,4,DEN,ATL,8,3,1,5,30,10,0,3,3,4,10,67,3,,,FG,JE-0200,311,51,Y,14,42,0,"(5:30) J.Elam 51 yard field goal is GOOD, Center-T.Teague, Holder-T.Rouen.",Grass,5.5
20,3127,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,DET,WAS,11,3,1,9,37,0,0,2,3,4,7,69,3,,,FG,JH-0900,360,49,Y,10,15,0,"(9:37) J.Hanson 49 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,9.616666667
20,3152,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,DET,WAS,4,3,2,14,44,3,0,2,3,4,2,98,3,,,FG,JH-0900,360,20,Y,10,15,0,"(14:44) J.Hanson 20 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,29.73333333
20,3203,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,DET,WAS,7,3,3,10,7,6,7,3,3,4,4,64,3,,,FG,JH-0900,360,54,Y,10,15,0,"(10:07) J.Hanson 54 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,40.11666667
20,3212,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,WAS,DET,8,3,3,2,32,7,9,2,3,4,1,91,3,,,FG,BC-2300,59,26,Y,10,15,0,"(2:32) B.Conway 26 yard field goal is GOOD, Center-J.Zelenka, Holder-T.Barnhardt.",Turf,32.53333333
20,3224,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,DET,WAS,9,3,4,15,0,9,10,3,2,4,15,82,3,,,FG,JH-0900,360,37,Y,10,15,0,"(15:00) J.Hanson 37 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,60
20,3238,2000,2,SUN,WAS,DET,Pontiac Silverdome,73,,,,Dome,AstroTurf,42,-5.5,DET,WAS,11,3,4,11,13,12,10,3,2,4,1,83,3,,,FG,JH-0900,360,35,Y,10,15,0,"(11:13) J.Hanson 35 yard field goal is GOOD, Center-M.Compton, Holder-J.Jett.",Turf,56.21666667
21,3297,2000,2,SUN,OAK,IND,RCA Dome,72,,,,Dome,AstroTurf,44,6.5,OAK,IND,8,3,1,4,57,0,14,3,3,4,2,68,,,,FG,SJ-0300,448,50,N,38,31,0,"(4:57) S.Janikowski 50 yard field goal is No Good, Wide Left, Center-A.Treu, Holder-S.Lechler.",Turf,4.95
21,3321,2000,2,SUN,OAK,IND,RCA Dome,72,,,,Dome,AstroTurf,44,6.5,IND,OAK,7,3,2,10,9,21,0,3,3,4,7,71,,,,FG,MV-0100,208,47,N,38,31,0,"(10:09) M.Vanderjagt 47 yard field goal is No Good, Wide Right, Center-J.Snow, Holder-H.Smith.",Turf,25.15
21,3345,2000,2,SUN,OAK,IND,RCA Dome,72,,,,Dome,AstroTurf,44,6.5,IND,OAK,12,3,2,0,6,21,7,0,3,1,14,86,3,,,FG,MV-0100,208,31,Y,38,31,0,"(:06) M.Vanderjagt 31 yard field goal is GOOD, Center-J.Snow, Holder-H.Smith.",Turf,15.1
21,3365,2000,2,SUN,OAK,IND,RCA Dome,72,,,,Dome,AstroTurf,44,6.5,OAK,IND,4,3,3,8,57,14,24,3,2,4,1,94,3,,,FG,SJ-0300,448,24,Y,38,31,0,"(8:57) S.Janikowski 24 yard field goal is GOOD, Center-A.Treu, Holder-S.Lechler.",Turf,38.95
22,3456,2000,2,SUN,MIA,MIN,Metrodome,65,,,,Dome,AstroTurf,41,3,MIN,MIA,10,3,1,8,39,0,0,3,3,4,1,90,3,,,FG,GA-0300,122,28,Y,7,13,0,"(8:39) G.Anderson 28 yard field goal is GOOD, Center-M.Palmer, Holder-M.Berger.",Turf,8.65
22,3545,2000,2,SUN,MIA,MIN,Metrodome,65,,,,Dome,AstroTurf,41,3,MIN,MIA,13,3,4,15,0,3,0,2,3,4,8,69,3,,,FG,GA-0300,122,49,Y,7,13,0,"(15:00) G.Anderson 49 yard field goal is GOOD, Center-M.Palmer, Holder-M.Berger.",Turf,60
23,3645,2000,2,SUN,NYG,PHI,Veterans Stadium,77,74,6,SE,Fair,AstroTurf,39,3,PHI,NYG,7,3,2,5,29,0,6,2,2,4,16,84,3,,,FG,DA-0300,516,33,Y,33,18,0,"(5:29) D.Akers 33 yard field goal is GOOD, Center-M.Bartrum, Holder-K.Detmer.",Turf,20.48333333
23,3680,2000,2,SUN,NYG,PHI,Veterans Stadium,77,74,6,SE,Fair,AstroTurf,39,3,PHI,NYG,10,3,3,9,18,3,20,2,3,4,1,89,3,,,FG,DA-0300,516,29,Y,33,18,0,"(9:18) D.Akers 29 yard field goal is GOOD, Center-M.Bartrum, Holder-K.Detmer.",Turf,39.3
24,3763,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,SD,NO,6,5,1,6,44,0,0,3,3,4,15,77,3,,,FG,JC-0900,288,42,Y,28,27,0,"(6:44) J.Carney 42 yard field goal is GOOD, Center-D.Binn, Holder-D.Bennett.",Grass,6.733333333
24,3821,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,NO,SD,13,3,2,2,0,7,17,3,1,4,2,98,3,,,FG,DB-3900,114,20,Y,28,27,0,"(2:00) D.Brien 20 yard field goal is GOOD, Center-K.Houser, Holder-T.Gowin.",Grass,17
24,3833,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,NO,SD,9,3,2,0,5,10,24,0,1,2,2,98,3,,,FG,DB-3900,114,20,Y,28,27,0,"(:05) D.Brien 20 yard field goal is GOOD, Center-K.Houser, Holder-T.Gowin.",Grass,15.08333333
24,3868,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,NO,SD,4,4,4,14,56,19,24,3,3,4,2,87,3,,,FG,DB-3900,114,31,Y,28,27,0,"(14:56) D.Brien 31 yard field goal is GOOD, Center-K.Houser, Holder-T.Gowin.",Grass,59.93333333
24,3889,2000,2,SUN,NO,SD,Qualcomm Stadium,76,41,8,WSW,Sunny,Grass,34,5.5,SD,NO,4,3,4,5,58,24,22,3,3,4,6,69,3,,,FG,JC-0900,288,49,Y,28,27,0,"(5:58) J.Carney 49 yard field goal is GOOD, Center-D.Binn, Holder-D.Bennett.",Grass,50.96666667
26,4109,2000,2,SUN,STL,SEA,Husky Stadium,55,100,3,W,Cloudy,FieldTurf,47.5,-8,STL,SEA,9,3,1,6,0,0,3,3,3,4,12,70,3,,,FG,JW-3300,253,48,Y,37,34,0,"(6:00) J.Wilkins 48 yard field goal is GOOD, Center-J.Robinson, Holder-K.Lyle.",Turf,6
